id,name,followers,popularity
7frYUe4C7A42uZqCzD34Y4,Sultaan,53636,53
6acbdy69rtlv8m9EW31MYl,Phyno,72684,51
72578usTM6Cj5qWsi471Nc,Raghu Dixit,248568,52
4rK6HLvoZhLFUTcUhG9WfC,Deacon,5644,52
7b6Ui7JVaBDEfZB9k6nHL0,The Local Train,701766,57
2m7KAO7EiviB48ITkqTotr,Gym Music,26438,31
4bvGDTEPFnllKiJaEZGuXk,Achint,6395,49
6SdRVw4NGUDFrTbWHXaUbH,Abdullah Al Mukhles,30651,47
5wJ1H6ud777odtZl5gG507,Vishal Mishra,211174,66
4qYpTEJThZ8FC8KzyFrSWW,Boj,24992,51
7rVV9d6vc4FLT752uRuk71,Arivu,14660,63
0n4a5imdLBN24fIrBWoqrv,Because,328492,59
4YIOi9aFNviV1jRQeiNZgO,Reminisce,26563,40
4gdMJYnopf2nEUcanAwstx,Anuv Jain,103905,58
3r0NbTTxtCBUyxcIR4prXr,Jr Crown,66016,59
2KewEocognk3bL1lQZe45G,C2d,10609,58
320IRZ1nffhXLLcs2CSX20,Anthony Jeselnik,56302,48
6AETRCQep85mUtIlX7BaFV,Color Humano,20203,25
47fpeEBmobi7jkLjy4Kf0p,Miguel Abuelo,25456,27
4LoFcBNitqIC130rvzS6BG,Porsuigieco,14494,25
3PN8odvj48fnALdAsCKG3g,Crucis,10400,22
4qZeDZdBD3NiWVbkwX2Lpx,El Reloj,8401,20
42MtvWbpLboJmThRItMWSZ,Cecilia Todd,7635,25
0DQ9JcIWMGVzlQSfCVK4oN,IQ,28437,37
6h8PLh7ArvvIG7ZD5g32yu,La Secta,14918,26
3OkzP6mHHksPsxgeamVMB4,Juan Falu,7228,28
2qnTUTsuypizIuMwVM1ffR,Los Hermanos Cardozo,6947,28
27dKaYrD63Sjj3H8IlGMcV,La Chacarerata Santiagueña,8933,27
6JogLFS7BAeUUE7DBgOOVb,Jaime Torres,7329,30
01FkCqvSAE5mBeTz5QQsx3,Omar Shané,10690,26
4aCWTRWrh5lyIaZTVCP6ja,Logos,6084,30
6po2f29ob2NrxTHXbsSS9i,Peligrosos Gorriones,12212,29
4YujyddKSDZt6gpAesPnEB,Kalama Tropical,9745,26
5SAeZRhgmJhgq196BR1Mna,Dúo Salteño,9642,31
26Omu9H1XR7cBoEYrMD9gF,Alfredo Casero,5953,30
3UmO1Acb6OVGSfiLnYe69n,Suarez,7264,31
1wELOF6Lb5TckxS5EiiQZe,Don Cornelio Y La Zona,10689,35
28DInKJA1f9LhVK1LqMaHW,Los Visitantes,11351,33
5jKPFZDOdSKFeRN5HRQGGx,La Fuerza Joven,7227,32
1p9IEVolgFCEjlFwEGTjPG,El Doctor,7489,34
5FWTu1MZdB5fjKif2rZldJ,Easy Star All-Stars,117070,52
4fARNbsdisPYTZtwYzAayh,Simplemente Naguel,12717,39
0bWJRk7RVy4BSt0S8S7fTJ,Santamarina,9189,32
4arvU6IZ9iiulbCZPiO1GB,Pelusa,29522,41
7czgdE1A5cjIIp5J4qtANj,Sin Ley,14527,37
7tqwTqZQXmwtlvj4WdsGUe,Banda Express,36994,35
0Ju8LutOzYuBpC3XtwcLZa,Fernando Bladys,18307,35
24rWeSxIXfwzrN8Ho7Hdtv,Los Continuados,25321,44
5U4f1gmVVLf0uhhcg0mJA9,Jorge Véliz y Los Santiagueños de Oro,14747,37
3zDNMwCfVORx1xwo6DGBlp,Roque Narvaja (F),6352,36
2qMYZt6h1KkH2OxwI2tOo6,Ojos locos,15767,33
4crE1FjbdIpLTdrbzCZmuS,Loquero,12456,36
1Sbn533a3TmseHmdYtGElm,Orellana Lucca,8995,43
3e10QpiUTMOykbAe9AAkbn,Mal Momento,20355,37
6xuqRCyuv5XGpNgC74ynim,Koli Arce,28521,36
0hjh0CtlHZMyBcu4e8y8xW,Panam y Circo,19316,38
7KTtecVDKYpIseUdqdNDpd,Zambayonny,23932,34
1MDbZWN49HRGDTkcIKTT54,Plan 4,16987,33
5V3p1FHktSmZSGyfvSGdhY,Villanos,24147,32
3RKWrEVRl77uOIUxpy1lEC,Diego Frenkel,7232,32
0P2q6xyNc2hVFkG3ThjYcJ,The Magic Numbers,74822,45
6P7mWyfrVRNgrd5DWjgkAp,Los Majestuosos Del Chamamé,8737,36
09EcsyJqVbqPZRzwfs1pyc,Jorge Veliz,17747,31
7Ij3qRinMFtEpzRghKIHtE,Sexteto Imperial,15567,33
7aFWI1ooewKlAlMparvoab,Tren Loco,27481,33
5jVIKY4wYJj5fRqrbVWs9y,David Filio,8544,44
72l6wuv5Ic1Lm9yAMayCKx,Mariana Baggio,7573,36
4QWL4JzrkjNABALNa7uwWs,Los Mentirosos,6508,33
0FtOEaKA25lR6G48iP1Jnt,Los Dragones,22183,43
0EHTNOyiEIqOIkE5tlnV4u,Nagual,8991,35
1CPCudqABxMYzF2PFEfQme,Media Naranja,24145,37
3j5RvqYJKTwcBFebeRNrxW,Da Skate,8018,33
4RWsSjLE6TMBwdYzHj2NiO,Sergio Galleguillo Y Los Amigos,10424,35
4mG70wQ5qWBs9GogyP7WuM,La contrà,18931,37
0SJy1J0FgP21lbvGBMKT8H,Camila Moreno,117650,48
7c8SVvHiXiEY6f3H7M6BcW,Facundo Saravia,13232,35
4VV2QFCzOG5Nxisme12B0b,Freddy y los Solares,11471,34
1vJHAIU4DSvj4XipPK3IR8,Sonido Cristal,17733,40
01wwxIe4Qgb0a4PCfzBjsf,Palo Pandolfo,8705,32
6YbPwijYI1KH2v4aPzAORT,Suéter,11369,32
5VqFyx1HDLsbf0bAK0K7Oa,Megatrack,27699,34
1PvGlWWeeIvW3xeTjAZxda,La Bruja Salguero,7286,32
3ZsohZm3TsffH1MmUNrK8G,El Stylo,34757,35
5BQDGBWMoSYmYQuABh7JP1,Morbo y Mambo,24532,38
09uueXvOHlHbzABqbbYbwT,La Banda al Rojo Vivo,36909,35
0uITrMC16Eg9bbPu0PNfzk,Grupo Alegria de Santa Fe,14366,35
2TbgthCBr5sAwMWqVz8Cf1,Los Boys,7356,28
13t1RROs40VnX8PtMUnBqc,Eugenia Quevedo,10739,34
4lXlGJYomLAcfO6rVOchfz,Cirse,15020,29
2q6X99CH0WLrL5YFJVOhZc,Pocho La Pantera,8007,30
7fxj9VjDxGpHfOPEkgxm6e,Ale Ceberio,47357,39
0y2UIyqXN4KctxsMLgSMhm,Nolberto Al k la,12756,43
3QZEbpYuO36TVmqHEbxpkZ,Escalandrum,11311,30
6Hs8U0JO2nacXFG4kp15Co,Chico Trujillo,191599,55
0TLoZhTnP0vyp61bIO4FgF,Los Sacheros,11691,35
06s35sbFfZJUEwFjAaZfiW,Cookin Soul,76227,58
2qA6QJKyk9W627mEn65hob,Raúl Carnota,16326,34
04P5kEdUJHjng2DzTXhy1C,Enrique Maza y La Verdadera,5482,33
2N4oh0cKq5FwoO94p4DTVK,La Contra,17354,48
35C2ZfgMovQotan3rNrYT3,Monchito Merlo,6432,31
0l3lrsagH8oE0CAkXdyNMI,El Turco Oliva,8889,35
